City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Haldwani,IN,78.22,clear sky,29.2167,79.5167,OYO Premium Nainital Road Haldwani
3,Cururupu,BR,85.89,light rain,-1.8283,-44.8683,Pousada Través'cia
4,Rikitea,PF,78.28,clear sky,-23.1203,-134.9692,Pension Maro'i
8,Male,MV,86.0,few clouds,4.1748,73.5089,Hotel Octave Maldives
9,Arraial Do Cabo,BR,87.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
13,Carnarvon,AU,78.8,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
17,Georgetown,MY,82.0,scattered clouds,5.4112,100.3354,Cititel Penang
23,Tecoanapa,MX,81.84,clear sky,16.5167,-98.75,Hotel Manglares
26,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
30,Mehriz,IR,77.0,overcast clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
32,Itarema,BR,85.86,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
37,Bengkulu,ID,76.5,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
40,Luvianos,MX,80.33,clear sky,18.9167,-100.4,
41,Vao,NC,75.65,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
47,Butaritari,KI,80.96,broken clouds,3.0707,172.7902,Isles Sunset Lodge
51,Puerto Ayora,EC,78.8,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Yokadouma,CM,82.29,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
61,Farah,AF,81.1,scattered clouds,32.5,62.5,
62,Pangkalanbuun,ID,75.36,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
63,Cidreira,BR,87.75,clear sky,-30.1811,-50.2056,Hotel Castelo
65,Meulaboh,ID,78.21,overcast clouds,4.1363,96.1285,Kost Pria
68,Soyo,AO,87.8,few clouds,-6.1349,12.3689,Hotel Mpampa
72,Salalah,OM,84.2,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
73,Bambous Virieux,MU,80.6,light rain,-20.3428,57.7575,Casa Tia Villa
82,Boyolangu,ID,75.52,broken clouds,-8.1181,111.8935,Yos ega cv
83,Atuona,PF,80.19,light rain,-9.8,-139.0333,Villa Enata
91,Kavieng,PG,79.99,moderate rain,-2.5744,150.7967,Nusa Island Retreat
100,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
101,Aitape,PG,77.92,heavy intensity rain,-3.1374,142.3475,
103,Tshela,CD,83.28,light rain,-4.9833,12.9333,Hotel Mirador
104,Castro,BR,78.39,clear sky,-24.7911,-50.0119,CHACARA BAILLY
109,Lodwar,KE,92.53,overcast clouds,3.1191,35.5973,Turkwel Lodge
111,Werda,BW,83.25,clear sky,-25.2667,23.2833,
112,Campo Maior,BR,87.21,broken clouds,-4.8278,-42.1686,Elite Hotel
113,Port Blair,IN,82.45,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
117,Ormara,PK,80.65,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
118,Saldanha,ZA,77.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
121,Panama City,PA,86.0,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
124,Anupgarh,IN,90.0,clear sky,29.1911,73.2086,kushal & Vishal DTH
125,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
126,Sao Filipe,CV,76.89,clear sky,14.8961,-24.4956,Tortuga B&B
134,Waddan,LY,81.66,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
137,Malim,PH,79.75,overcast clouds,7.452000000000001,123.4312,Malim
141,Hobyo,SO,83.17,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
144,Cayenne,GF,87.8,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
147,Avarua,CK,75.2,broken clouds,-21.2078,-159.775,Paradise Inn
149,Hithadhoo,MV,83.95,broken clouds,-0.6,73.0833,Scoop Guest House
150,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
153,Padang,ID,77.0,moderate rain,-0.9492,100.3543,Mercure Padang
161,Caravelas,BR,82.29,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
166,Minas De Barroteran,MX,75.18,overcast clouds,27.6333,-101.2833,Motel Venecia
179,Kieta,PG,77.54,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
180,Gumdag,TM,77.77,broken clouds,39.2061,54.5906,
185,Vila Velha,BR,84.2,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
193,Road Town,VG,82.4,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
199,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
202,Fomboni,KM,83.8,overcast clouds,-12.28,43.7425,Relais Singani
203,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
205,Guarapari,BR,84.2,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
212,Sambava,MG,77.83,light rain,-14.2667,50.1667,Melrose
214,Bol,TD,91.27,clear sky,13.4586,14.7147,Hotel 3 Etoiles
215,Mana,GF,75.76,overcast clouds,5.6592,-53.7767,LE SAMANA
216,Bubaque,GW,77.23,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
226,Wagar,SD,88.48,scattered clouds,16.1525,36.2032,
230,Kandrian,PG,76.28,light rain,-6.2167,149.55,Kandrian Station
235,Tual,ID,83.21,broken clouds,-5.6667,132.75,Grand Vilia Hotel
239,Harper,LR,84.87,broken clouds,4.375,-7.7169,Screensaver
241,Perbaungan,ID,78.8,mist,3.5679,98.956,Bendang Lama
244,Porto Novo,BJ,89.6,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
246,Namatanai,PG,75.96,moderate rain,-3.6667,152.4333,Namatanai Hotel
248,Turbat,PK,85.89,clear sky,26.0023,63.044,Mubashar Quarters
250,Lorengau,PG,80.85,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
252,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
254,Sterling,US,75.0,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
262,Muli,MV,83.88,broken clouds,2.9167,73.5667,Medhufushi Island Resort
267,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
268,Axim,GH,85.03,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
271,Nouadhibou,MR,75.2,clear sky,20.930999999999997,-17.0347,El Medina
274,Remanso,BR,87.93,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
278,Boa Vista,BR,78.8,light rain,2.8197,-60.6733,Aipana Plaza Hotel
279,Kalmunai,LK,81.19,overcast clouds,7.4167,81.8167,VS Villa
282,Biak,ID,76.26,overcast clouds,-0.9131,122.8766,Penginapan Kim
286,Nabire,ID,76.15,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
290,Rio Grande,BR,75.2,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
291,San Patricio,US,78.01,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
292,Port-Gentil,GA,77.0,light rain,-0.7193,8.7815,Fengshui Residence
295,Breves,BR,85.68,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
297,Marawi,PH,77.0,broken clouds,7.9986,124.2928,Derogongan Residence
298,Kupang,ID,76.69,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
299,Tuy Hoa,VN,76.5,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
300,Yarada,IN,81.57,clear sky,17.65,83.2667,Jeevan
301,Kirakira,SB,78.46,overcast clouds,-10.4544,161.9205,SanBiz Lodge
303,West Bay,KY,84.99,few clouds,19.3667,-81.4167,Calypso Cove
305,Ciudad Bolivar,VE,90.88,overcast clouds,8.1222,-63.5497,Hotel Edi
309,Salinopolis,BR,82.54,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
312,Namibe,AO,87.8,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
314,Iraucuba,BR,91.47,scattered clouds,-3.7461,-39.7833,Hotel Terra da Amizade
316,Sarangani,PH,82.58,overcast clouds,5.4033,125.4636,Ballistic Islet
317,Adre,TD,93.51,clear sky,13.4667,22.2,
319,Sal Rei,CV,78.8,clear sky,16.1833,-22.9167,Marine Club Beach Resort
320,Monjas,GT,87.8,clear sky,14.5,-89.8667,Hotel el viajero
321,San Juan De Uraba,CO,84.33,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
326,Cap Malheureux,MU,80.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
333,Matara,LK,79.61,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
335,Ranong,TH,79.77,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
337,Koumac,NC,75.83,overcast clouds,-20.5667,164.2833,Le Monitel
343,Thinadhoo,MV,83.71,scattered clouds,0.5333,72.9333,
344,Jacareacanga,BR,83.75,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
345,That Phanom,TH,80.6,broken clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
347,Bandarbeyla,SO,80.53,broken clouds,9.4942,50.8122,JABIR HOTEL
351,Bima,ID,75.58,few clouds,-8.4667,118.7167,Lambitu Hotel
352,Mecca,SA,79.63,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
356,Mabay,PH,79.16,overcast clouds,6.0577,124.4666,Bautista Lodging House
359,Norsup,VU,77.56,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
364,Tura,IN,79.81,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
366,Kattivakkam,IN,84.2,scattered clouds,13.2167,80.3167,Raj's villa
368,Tautira,PF,77.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
370,Yanam,IN,82.4,few clouds,16.7333,82.2167,The Regency Hotel
371,Jibuti,DJ,84.2,few clouds,11.5,42.5,Orchid Main Camp Goubet
372,Praya,CV,84.2,clear sky,14.9215,-23.5087,LT Aparthotel
375,Kavaratti,IN,83.93,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
379,Buta,CD,81.68,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
381,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
382,Faanui,PF,81.14,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
385,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
388,Benguela,AO,84.65,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
391,Eyl,SO,81.19,broken clouds,7.9803,49.8164,Amiin Hotel
394,Najran,SA,93.2,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
402,Kota Belud,MY,75.2,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
412,Beira,MZ,80.6,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
419,Bireun,ID,78.42,few clouds,5.202999999999999,96.7009,Hotel Fajar
421,Ipua,BR,89.94,clear sky,-20.4381,-48.0122,Hotel e Restaurante M. Martins
422,Mangrol,IN,80.87,clear sky,21.1167,70.1167,Hotel The Royal Honours
423,Hambantota,LK,78.8,few clouds,6.1241,81.1185,Bungalow 63
427,San Francisco Del Mar,MX,83.12,clear sky,16.2333,-94.65,
431,Mareeba,AU,75.2,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
434,Karratha,AU,83.64,broken clouds,-20.7377,116.8463,ibis Styles Karratha
438,Gambela,ET,93.87,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
443,Mabaruma,GY,81.19,overcast clouds,8.2,-59.7833,
445,Sola,VU,79.41,overcast clouds,-13.8833,167.55,Leumerus Bungalows
450,Les Cayes,HT,80.98,broken clouds,18.2,-73.75,Villa Orphee
454,Haapiti,PF,77.0,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
457,Mbandaka,CD,75.96,light rain,0.0487,18.2603,Guest House Epervier
459,San Antonio,US,75.0,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
460,Wattegama,LK,78.8,few clouds,6.7989,81.4808,
462,Quelimane,MZ,80.6,broken clouds,-17.8786,36.8883,Hotel Flamingo
464,Poum,NC,77.94,overcast clouds,-20.2333,164.0167,Gîte kajeon
472,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
473,Dire Dawa,ET,77.13,broken clouds,9.5931,41.8661,Samrat Hotel
474,Touros,BR,87.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
475,Luanda,AO,86.0,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
480,Isangel,VU,78.4,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
481,Vila Do Maio,CV,84.2,clear sky,15.1333,-23.2167,Residence 'I Delfini'
482,San Ignacio,BZ,84.2,clear sky,17.1561,-89.0714,Rainforest Haven Inn
483,Rio De Oro,CO,75.49,overcast clouds,8.2919,-73.3849,Hotel Sinarote
486,Mitsamiouli,KM,82.11,broken clouds,-11.3847,43.2844,Foyer ADM
488,Pointe Michel,DM,84.2,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
489,Tra Vinh,VN,80.31,few clouds,9.9347,106.3453,Hồng Ân
492,Gorontalo,ID,75.96,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
493,Monte Patria,CL,80.55,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
498,Santa Isabel,BR,80.6,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
499,Tatawin,TN,89.6,broken clouds,32.9297,10.4518,Sangho Privilege Tataouine
500,Sao Joao Da Barra,BR,86.0,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
501,Langsa,ID,75.85,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
510,Kudahuvadhoo,MV,83.77,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
511,Joao Camara,BR,87.8,broken clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
512,Mogwase,ZA,79.56,clear sky,-25.185,27.2665,De Skaap Accommodation & Event Venue
513,Balikpapan,ID,76.51,overcast clouds,-1.2675,116.8289,ibis Balikpapan
514,Tutoia,BR,84.2,broken clouds,-2.7619,-42.2744,Pousada Guará's
515,Tondano,ID,78.8,scattered clouds,1.3038,124.9112,Villa Bella
518,Tandalti,SD,92.62,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
521,Bosaso,SO,81.41,clear sky,11.2842,49.1816,Red Sea Hotel
524,Shakawe,BW,77.77,clear sky,-18.3667,21.85,Ditlhapi Guest House
528,Sur,OM,83.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
533,Pangai,TO,79.05,light rain,-19.8,-174.35,Ha'apai Beach Resort
536,Sorong,ID,81.41,overcast clouds,-0.8833,131.25,waigo splash hotel
539,Cockburn Town,TC,75.61,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
540,Lazaro Cardenas,MX,81.72,clear sky,17.9583,-102.2,Hotel Quinta Antigua
543,Wadi Maliz,TN,78.8,clear sky,36.4681,8.5495,HOPITAL
547,Samarai,PG,79.72,broken clouds,-10.6167,150.6667,Nuli Sapi
550,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
551,Cozumel,MX,84.99,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
554,Howard Springs,AU,82.4,broken clouds,-12.497,131.047,buffalo beach hostel
555,Carinhanha,BR,93.2,scattered clouds,-14.3047,-43.765,Hotel Canoeiro
556,Daru,PG,76.12,overcast clouds,-9.0763,143.2092,Daru Lodge
559,Maunatlala,BW,84.2,clear sky,-22.596999999999998,27.6301,MAUNATHLALA LODGE
560,Fonte Boa,BR,81.66,overcast clouds,-2.4959,-66.2662,
564,Praia,CV,84.2,clear sky,14.9215,-23.5087,LT Aparthotel
566,Laguna De Perlas,NI,84.2,few clouds,12.3429,-83.6712,Hotel Best View
571,Bonthe,SL,87.21,broken clouds,7.5264,-12.505,Bonthe Holiday Village
572,Anloga,GH,89.6,few clouds,5.7947,0.8973,Pin Drop Hotel
576,Trang,TH,75.52,few clouds,7.5,99.5,Jelly's House
582,Olinda,BR,82.4,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
584,Ca Mau,VN,81.77,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
586,Labuhan,ID,79.25,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
588,Dingle,PH,76.33,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
589,Phan Thiet,VN,78.64,overcast clouds,10.9333,108.1,Hotel Saigon-PT
599,Buritis,BR,86.09,broken clouds,-15.6178,-46.4233,Hotel Rainha do Vale
609,Itapetinga,BR,88.52,scattered clouds,-15.2489,-40.2478,Hotel Del Rey
610,Diego De Almagro,CL,77.38,clear sky,-26.3667,-70.05,hotel luna del desierto
611,Kuching,MY,75.2,light rain,1.55,110.3333,The Ranee Boutique Suites
617,Port Hedland,AU,82.4,broken clouds,-20.3167,118.5667,The Esplanade Hotel
620,Ende,ID,76.57,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
624,Diamantino,BR,88.2,clear sky,-14.4086,-56.4461,Hotel Delta
625,Singkang,MY,78.8,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
626,Fort Pierce,US,89.01,few clouds,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
627,Sao Geraldo Do Araguaia,BR,86.43,overcast clouds,-6.4006,-48.555,SOLAR DO BARROSO
628,Aswan,EG,77.86,clear sky,24.0934,32.907,Nuba Nile
629,Jawar,IN,88.39,scattered clouds,23.0,76.5,Sree balaji
631,Imbituba,BR,84.2,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
634,Omboue,GA,78.03,overcast clouds,-1.5746,9.2618,Hotel Olako
636,Akyab,MM,80.89,clear sky,20.15,92.9,Hotel Memory
637,Davila,PH,77.0,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
639,Maragogi,BR,81.45,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
644,Belmonte,BR,84.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
645,Palmital,BR,87.85,clear sky,-22.7889,-50.2175,OROFINO HOTEL CLUBE
647,Cabedelo,BR,77.0,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
650,Rodrigues Alves,BR,80.6,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
651,Morondava,MG,80.98,overcast clouds,-20.2833,44.2833,La Case Bambou
652,Miracema Do Tocantins,BR,86.56,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
654,Tocache,PE,83.86,broken clouds,-8.1842,-76.5125,Hotel Ortiz
657,Raga,SS,93.83,overcast clouds,8.4596,25.678,
661,Pompeu,BR,81.88,clear sky,-19.2244,-44.9353,
662,Jadu,LY,82.11,scattered clouds,31.953000000000003,12.0261,سيفاو عبازة
663,Buraydah,SA,80.6,clear sky,26.326,43.975,فندق راحة السلام
668,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
670,Jacqueville,CI,87.8,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
674,Aden,YE,81.41,few clouds,12.7794,45.0367,Sama Emirate Hotel
677,Champua,IN,85.5,overcast clouds,22.0833,85.6667,ANSARI COTTAGE
679,Lakatoro,VU,77.56,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
681,Cartagena,CO,86.0,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
